composition,gfa
Al85CoNi14,False
Al85Fe2Ni13,False
Al85Fe8Si7,False
Al85FeNi14,False
Al86(FeNi)7,False
Al86.7Fe1Ni12.3,True
Al86Co3Ni11,False
Al86Co5Ni9,False
Al86CoNi13,False
Al86Fe3Ni11,True
Al86Fe5Ni9,False
Al86FeNi13,False
Al87.5Fe0.5Ni12,True
Al87.5Fe2Ni10.5,True
Al87.5Fe3.5Ni9,True
Al87Co2Ni11,True
Al87Co3Ni10,False
Al87Co4Ni9,False
Al87Co5Ni8,False
Al87CoNi12,True
Al87Fe2Co11,True
Al87Fe2Ni11,True
Al87Fe3Ni10,True
Al87Fe4Co9,False
Al87Fe4Ni9,False
Al87Fe5Ni8,False
Al87Fe6Ni7,False
Al87FeNi12,True
Al87V5Cu8,False
Al87V8Cu5,False
Al88(Co3Ni)3,False
Al88(CoNi3)3,False
Al88(FeNi3)3,True
Al88.5Fe3Ni8.5,True
Al88Co11Ni,False
Al88Co5Ni7,True
Al88Co7Ni5,False
Al88CoNi11,False
Al88Fe5Ni7,False
Al88FeNi11,True
Al89Co2Ni9,False
Al89Co3Ni8,False
Al89Co4Ni7,False
Al89Co5Ni6,False
Al89Co6Ni5,False
Al89CoNi10,False
Al89Fe2Ni9,False
Al89Fe3Ni8,False
Al89Fe4Ni7,False
Al89Fe5Ni6,False
Al89Fe6Ni5,False
Al89Fe7Ni4,False
Al89Fe9Ni2,False
Al89FeNi10,False
Al8Co25B17,True
Al8Co29B13,True
Al8Co31B11,True
Al8Co37B5,False
Al8CrSi,False
Al8Fe29B13,True
Al8Fe31B11,True
Al8Fe37B5,False
Al8Ni23B19,True
Al8Ni25B17,True
Al8Ni29B13,True
Al8Ni31B11,True
Al8VCu,True
Al90FeNi9,False
Al91(Fe2Ni)3,False
Al91(FeNi2)3,False
Al91Co2Ni7,False
Al91CoNi8,False
Al91Fe2Ni7,False
Al91FeNi8,False
Al92Fe5Ni3,False
Al9Co,False
Al9Cr,False
Al9Cr3Si8,False
Al9Cr4Si7,False
Al9Fe,False
Al9Ni,False
Al9V3Ge8,False
AlCu,False
AlFe17Si2,True
B12Mo23Ru15,True
B15(Mo3Ru2)17,True
B3Mo17,False
B3Mo7,False
B5(Mo3Rh7)2,True
B8Mo55.5Ru36.5,True
BMo3,False
BMo4,False
BMo8P,True
BMo9,False
Ba10La53.5Cu36.5,True
Ba10La56.5Cu33.5,True
Ba2(La9Cu7)3,True
Ba2La11Cu7,True
Ba2La13Cu10,True
Ba2La59Cu39,True
Ba2La71Cu27,True
Ba3La56Cu41,True
Ba3La57Cu40,True
Ba4(La23Cu9)3,True
Ba4.5La68Cu27.5,True
Ba4La31Cu15,True
Ba5La29Cu16,True
Ba5La53Cu42,True
Ba67La28Cu5,True
Ba7.5La63.5Cu29,True
Ba7La51.5Cu41.5,True
Ba7La65Cu28,True
Ba9(La4Cu3)13,True
Ba9.5La52.5Cu38,True
Ba9La60Cu31,True
BaLa61Cu38,True
Be2Fe7B,True
Ca(La5Cu2)7,True
Ca1.25Al88.75Ni10,False
Ca1.5La71Cu27.5,True
Ca10Al87.5Fe2.5,False
Ca10Al87.5Ni2.5,False
Ca11Al89,True
Ca11Mg89,False
Ca12Mg7Ga,True
Ca14(MgAl)3,True
Ca15Mg3Cu2,True
Ca1La61.5Cu37.5,True
Ca1La71.5Cu27.5,True
Ca2.5Al87.5Ni10,False
Ca2.5Al92.5Fe5,False
Ca2.5Al92.5Ni5,False
Ca2Al17Co,True
Ca2Al17Cu,True
Ca2Al17Fe,True
Ca2Al17Ni,True
Ca2Al17Zn,True
Ca2La60.5Cu37.5,True
Ca2Mg17Zn,True
Ca2MgAl17,True
Ca3Al2,True
Ca3AlGa,True
Ca3La59.5Cu37.5,True
Ca3La68.5Cu28.5,True
Ca3Mg2,True
Ca3MgGa,True
Ca4La58.5Cu37.5,True
Ca4La67Cu29,True
Ca5(Mg3Cu2)3,True
Ca5La57.5Cu37.5,True
Ca5Mg3Cu2,True
Ca6.5La56.5Cu37,True
Ca6Al3Ga,True
Ca6AlGa3,True
Ca6La63Cu31,True
Ca6Mg3Ga,True
Ca6MgGa3,True
Ca7.5Al87.5Fe5,True
Ca7.5Al87.5Ni5,True
Ca7.5Al90Fe2.5,True
Ca7.5Al90Ni2.5,True
Ca7.5Al92.5,False
Ca7.5La56.5Cu36,True
Ca7.5Mg82.5Cu10,True
Ca7.5Mg82.5Zn10,False
Ca7.5Mg87.5Cu5,True
Ca7.5Mg87.5Zn5,False
Ca7.5Mg92.5,False
Ca70Mg7.5Al22.5,True
Ca7Al3,True
Ca7Cu3,True
Ca7La61Cu32,True
Ca7Mg2Cu,True
Ca7Mg3,True
Ca7MgCu2,True
Ca8.5La56.5Cu35,True
Ca8.5La58.5Cu33,True
Ca8La59.5Cu32.5,True
Ca9Al91,True
Ca9La57.5Cu33.5,True
CaAl17Ni2,False
CaAl18Fe,False
CaAl18Ni,False
CaAl8Ni,False
CaAl9,True
CaLa13Cu6,True
CaMg17Cu2,False
CaMg17Zn2,False
CaMg18Cu,False
CaMg18Zn,False
CaMg7Al2,True
CaMg8Zn,True
CaMg9,False
Ce(Al2Ni)3,True
Ce(Al6Fe)7,False
Ce(Cu2Ag)3,True
Ce(Cu7Ag5)2,True
Ce(CuAg2)3,False
Ce(Mg2Ni)3,True
Ce(MgNi)2,False
Ce10(Al29Cr)3,True
Ce10Al61Ni29,True
Ce10Al77Co13,False
Ce10Al83Cr7,False
Ce10Al89Ni,True
Ce10Mn7Al83,False
Ce10Nb13Al77,False
Ce11Al5Ni4,True
Ce11Al89,True
Ce13Al85V2,False
Ce13Al87,True
Ce17Al71Fe12,False
Ce18Al67Fe15,False
Ce18Al77Fe5,False
Ce2(Al5Co)3,False
Ce2(Al5Cu)3,True
Ce2(Al5Fe)3,False
Ce2(Al5Ni)3,True
Ce2(AlCu15)3,False
Ce2(Mg5Cu)3,True
Ce2(Mg5Ni)3,True
Ce23Al60Fe17,False
Ce23Al64Fe13,False
Ce25.5Al62.5Fe12,False
Ce25Al62.5Fe12.5,False
Ce2Al17Co,True
Ce2Al17Cr,True
Ce2Al17Cu,True
Ce2Al17Fe,True
Ce2Al17Ni,True
Ce2Al17V,False
Ce2Al22V,False
Ce2Al23,True
Ce2Al2Cu21,True
Ce2Al3Cu20,True
Ce2Al43Ni5,True
Ce2Al47Co,False
Ce2Al47Fe,False
Ce2Al5Cu43,False
Ce2Al7Fe,False
Ce2Al7Ni,False
Ce2Al83Cu15,False
Ce2Al93Cr5,False
Ce2Al95Co3,False
Ce2AlCu22,False
Ce2Cu13Ag10,True
Ce2Cu23Ag25,True
Ce2Cu53Ag45,False
Ce2Mg13Cu5,True
Ce2Mg17Cu,False
Ce2Mg17Ni,True
Ce2Mg5Ni3,True
Ce2Mg7Cu,False
Ce2Mg7Ni,False
Ce2Mn5Al93,False
Ce2MnAl17,True
Ce2NbAl17,True
Ce3Al13Fe4,False
Ce3Al13Ni4,True
Ce3Al14Cu3,False
Ce3Al14Fe3,False
Ce3Al14Ni3,True
Ce3Al15Co2,False
Ce3Al15Cu2,False
Ce3Al15Fe2,False
Ce3Al16Co,False
Ce3Al16Cr,False
Ce3Al16Cu,False
Ce3Al16Fe,False
Ce3Al16Ni,False
Ce3Al22,True
Ce3Al3Cu44,False
Ce3Al42Ni5,True
Ce3Al43Ni4,True
Ce3Al47,False
Ce3Al4Cu43,False
Ce3Al5Cu42,False
Ce3Al6Cu41,False
Ce3Al7Cu40,False
Ce3Al90Co7,True
Ce3Al90Fe7,True
Ce3AlCu46,False
Ce3Cu32Ag15,True
Ce3Cu37Ag10,True
Ce3Cu37Ag60,False
Ce3Cu42Ag5,True
Ce3Cu47Ag50,True
Ce3Cu52Ag45,True
Ce3Cu57Ag40,True
Ce3Cu62Ag35,False
Ce3Cu67Ag30,False
Ce3Cu77Ag20,False
Ce3Cu87Ag10,False
Ce3Mg12Cu5,False
Ce3Mg13Cu4,True
Ce3Mg14Cu3,True
Ce3Mg15Cu2,False
Ce3Mg15Ni2,True
Ce3Mg16Cu,False
Ce3Mg4Ni3,False
Ce3Mg85Zn12,True
Ce3Nb2Al15,False
Ce3NbAl16,False
Ce3NbAl46,True
Ce4(Cu17Ag15)3,True
Ce4(Cu27Ag5)3,False
Ce4Al13Fe3,False
Ce4Al15Fe,False
Ce4Al3Cu43,False
Ce4Al41Ni5,True
Ce4Al5Cu41,True
Ce4Al7Cu39,False
Ce4AlCu45,False
Ce4Cu43Ag3,False
Ce4Cu61Ag35,True
Ce4Mg11Cu5,False
Ce4Mg13Cu3,False
Ce4Mg15Cu,False
Ce4NbAl45,True
Ce5(Al2Cu13)3,False
Ce5(Al4Fe)3,False
Ce5(AlCu14)3,True
Ce5(Mg4Ni)9,True
Ce5Al13Fe2,False
Ce5Al2Cu43,False
Ce5Al44Co,True
Ce5Al44Cu,True
Ce5Al44Fe,True
Ce5Al44V,True
Ce5Al4Cu41,True
Ce5Al7Cu38,False
Ce5Al83Co12,True
Ce5Al87Ni8,True
Ce5Al88Cu7,False
Ce5Al91Ni4,True
Ce5AlCu44,False
Ce5Mn2Al43,True
Ce5MnAl44,True
Ce5NbAl44,True
Ce6Al85Ni9,True
Ce6Al87Ni7,True
Ce6Al89V5,False
Ce6Cu39Ag55,True
Ce6Cu59Ag35,True
Ce6Cu69Ag25,True
Ce6Cu79Ag15,True
Ce6Cu89Ag5,False
Ce6Mn5Al89,False
Ce7Al83Cu10,True
Ce7Al83Fe10,True
Ce7Al93,True
Ce7Nb10Al83,True
Ce8Al87Co5,True
Ce8Al87Cr5,False
Ce8Al87Cu5,True
Ce8Al87Fe5,True
Ce8Al89Cr3,False
Ce8Cu37Ag55,True
Ce8Cu87Ag5,False
Ce8Mn5Al87,False
Ce8Nb5Al87,True
Ce9Al91,True
CeAl13Ni6,True
CeAl15Co4,False
CeAl15Cu4,False
CeAl15Ni4,True
CeAl16Co3,True
CeAl16Cu3,True
CeAl16Ni3,True
CeAl17Co2,True
CeAl17Cu2,True
CeAl17Fe2,True
CeAl17Ni2,True
CeAl18Co,True
CeAl18Cu,False
CeAl18Fe,True
CeAl18Ni,False
CeAl19,False
CeAl3Fe,False
CeAl3Ni,False
CeAl44Co5,True
CeAl44Cu5,False
CeAl44Fe5,True
CeAl44Ni5,True
CeAl47Cr2,False
CeAl47Fe2,False
CeAl47V2,False
CeAl5Cu44,False
CeAl7Cu2,False
CeAl7Fe2,False
CeAl7Ni2,True
CeAl89Fe10,False
CeAl8Co,True
CeAl8Cr,False
CeAl8Cu,True
CeAl8Fe,True
CeAl8Ni,True
CeAl8V,False
CeAl9,True
CeAlCu23,False
CeAlCu8,False
CeCu10Ag9,True
CeCu11Ag8,True
CeCu12Ag7,True
CeCu13Ag6,False
CeCu15Ag4,False
CeCu17Ag2,False
CeCu18Ag,False
CeCu19Ag5,False
CeCu24Ag25,False
CeCu29Ag20,False
CeCu2Ag7,False
CeCu4Ag5,True
CeCu59Ag40,False
CeCu5Ag14,False
CeCu5Ag4,True
CeCu7Ag12,False
CeCu7Ag2,True
CeCu8Ag,True
CeCu8Ag11,True
CeCu9Ag10,True
CeMg13Cu6,True
CeMg14Cu5,True
CeMg15Cu4,True
CeMg15Ni4,True
CeMg16Cu3,True
CeMg17Cu2,True
CeMg17Ni2,True
CeMg18Cu,False
CeMg18Ni,False
CeMg2Cu,False
CeMg3Cu,False
CeMg3Ni,True
CeMg7Cu2,True
CeMg7Ni2,True
CeMg8Cu,True
CeMg8Ni,True
CeMg9,False
CeMn2Al17,False
CeMn2Al47,False
CeMn5Al44,False
CeMnAl8,False
CeNb2Al17,False
CeNbAl18,False
CeNbAl8,True
Co,False
Co1.7Si16.5Pd81.8,True
Co10Ni68.5P21.5,False
Co10Ni71P19,False
Co10Ni73P17,False
Co10Si16.5Pd73.5,True
Co11Mo9C5,True
Co12.5Ni66P21.5,False
Co12.5Ni68.5P19,False
Co12.5Ni70.5P17,False
Co12.5Si16.5Pd71,True
Co12B8C5,False
Co12B9C4,False
Co12Mo8C5,True
Co12Mo9C4,True
Co13(B2C)4,True
Co13(B3C)3,False
Co13B7,True
Co13B7C5,False
Co13Mo7C5,True
Co13Si2B5,True
Co13Si3B4,True
Co13Si4B3,False
Co13SiB6,True
Co13W3C4,False
Co13W4C3,False
Co14(SiB)3,True
Co14(WC)3,True
Co14B6C5,True
Co14B7C4,True
Co14B8C3,True
Co14B9C2,False
Co14Mo6C5,True
Co14Mo7C4,True
Co14Ni64.5P21.5,False
Co14Ni67P19,False
Co14Ni69P17,False
Co14Si5C,False
Co14SiB5,True
Co15(B3C2)2,True
Co15(B4C)2,True
Co15(Mo3C2)2,True
Co15B7C3,True
Co15B9C,True
Co15Si16.5Pd68.5,True
Co15Si2B3,True
Co15Si2C3,False
Co15Si3B2,True
Co15Si3C2,False
Co15Si4B,False
Co15Si4C,False
Co15SiB4,True
Co15SiC4,False
Co15W2C3,False
Co15W3C2,False
Co15WC4,False
Co16(B2C)3,True
Co16B4C5,False
Co16B5C4,True
Co16B7C2,True
Co16B8C,True
Co16B9,True
Co16Mo4C5,True
Co16Mo5C4,True
Co16Ni65P19,False
Co16Si3C,False
Co16SiB3,True
Co16SiC3,False
Co16W3C,False
Co16W5C4,False
Co16WC3,False
Co17(B3C)2,True
Co17(BC)4,False
Co17(MoC)4,True
Co17(SiB)4,True
Co17(WC)4,False
Co17B3,False
Co17B5C3,True
Co17B7C,True
Co17B8,True
Co17C3,False
Co17Mo3C5,True
Co17Si3,False
Co17SiB2,False
Co17SiC2,False
Co17W2C,False
Co17W3C5,False
Co17W5C3,False
Co18B3C4,False
Co18B4C3,True
Co18B5C2,True
Co18B6C,True
Co18B7,True
Co18Mo3C4,True
Co18W3C4,True
Co18WC,False
Co19(B2C)2,True
Co19(BC)3,True
Co19B5C,True
Co19B6,True
Co19Si,False
Co2(Ni11P3)7,True
Co20.9Si16.5Pd62.6,False
Co20B2C3,False
Co20B3C2,False
Co20B4C,True
Co21(BC)2,False
Co21B3C,False
Co21B4,True
Co21Mo20C9,False
Co22B2C,False
Co22B3,True
Co23(Mo2C)9,True
Co23Mo16C11,True
Co23Mo20C7,False
Co25Mo14C11,True
Co25Mo16C9,True
Co25Mo18C7,False
Co27Mo12C11,True
Co27Mo14C9,True
Co29(Mo4C3)3,True
Co29(W4C3)3,False
Co29B20C,False
Co29Mo10C11,True
Co2Ni78.5P19.5,True
Co2Ni81P17,False
Co3.5Ni74.5P22,False
Co3.5Ni75.5P21,True
Co3.5Ni77P19.5,True
Co3.5Ni78.5P18,True
Co3.5Ni79.5P17,False
Co31B18C,True
Co31B19,True
Co31Mo10C9,True
Co31Mo12C7,False
Co31Mo8C11,True
Co31W10C9,False
Co33B16C,True
Co33B17,True
Co33Mo8C9,True
Co33Ni33B34,True
Co33W10C7,False
Co33W8C9,False
Co34Mo5C11,True
Co34W7C9,False
Co35(Mo2C3)3,True
Co35(W2C3)3,True
Co35Mo8C7,False
Co35W7C8,True
Co35W8C7,True
Co36(WC)7,True
Co36Mo5C9,True
Co36W5C9,False
Co37B13,True
Co37Mo4C9,False
Co37Mo5C8,False
Co37Mo6C7,False
Co37W5C8,False
Co37W7C6,False
Co38Mo5C7,False
Co38W5C7,False
Co39B11,True
Co39Si5B6,True
Co3B,True
Co3B2,True
Co3BC,True
Co3MoC,True
Co3Si,False
Co3SiB,False
Co3WC,False
Co4.2Si16.5Pd79.3,True
Co40Si3B7,True
Co41B9,True
Co41Si2B7,False
Co41Si4B5,False
Co4B,True
Co4C,False
Co4Si,False
Co59B41,True
Co5Ni73P22,False
Co5Ni74P21,True
Co5Ni75.5P19.5,True
Co5Ni77P18,True
Co5Ni78P17,False
Co6.7Si16.5Pd76.8,True
Co60Si17.5B22.5,False
Co62.5Si12.5B25,True
Co62.5Si17.5B20,False
Co65Si22.5C12.5,True
Co65Si7.5B27.5,True
Co65W17.5C17.5,False
Co67.5Si12.5B20,True
Co67.5Si15C17.5,True
Co67.5Si17.5C15,True
Co67.5Si20C12.5,True
Co67.5Si22.5C10,True
Co67.5Si7.5B25,True
Co67.5W17.5C15,False
Co67.5W20C12.5,False
Co7(Ni24P7)3,True
Co7(Ni25P6)3,True
Co70.5Si14.75B14.75,True
Co70W17.5C12.5,False
Co71B29,True
Co72.5Si12.5B15,True
Co72.5Si7.5B20,True
Co72.5W15C12.5,True
Co73Si13.5B13.5,True
Co74.5W7.5C18,False
Co75Si12.5B12.5,True
Co75Si7.5B17.5,True
Co75W12.5C12.5,False
Co77.5Si10B12.5,True
Co77.5Si12.5B10,True
Co77.5Si15B7.5,True
Co77.5Si7.5B15,True
Co77.5W10C12.5,False
Co77.5W15C7.5,False
Co77.5W7.5C15,False
Co77W5C18,False
Co78(SiB)11,True
Co7B3,True
Co7MoC2,True
Co7Ni71P22,False
Co7Ni73.5P19.5,True
Co7Ni76P17,False
Co7Si2B,False
Co7Si3,False
Co7SiB2,True
Co7SiC2,False
Co7W2C,False
Co7WC2,False
Co80.5Si7B12.5,False
Co80B7P13,True
Co80Si7.5B12.5,True
Co80W7.5C12.5,False
Co81.5B18.5,True
Co82.5W10C7.5,False
Co82.5W7.5C10,False
Co83B17,True
Co85W2.5C12.5,False
Co85W7.5C7.5,False
Co87.5W2.5C10,False
Co89B11,True
Co8SiB,False
Co8WC,False
Co95W2.5C2.5,False
Co9C,False
Co9Ni69.5P21.5,False
Co9Ni72P19,True
Co9Ni74P17,False
Co9Si,False
CoNi38P11,False
CoNi40P9,True
CoSi2Pd7,True
Cr(Ge2Pd9)9,True
Cr0.5Si20Pd79.5,True
Cr10Co11C4,False
Cr10Fe13C2,False
Cr10Fe31B9,True
Cr10Fe33B7,True
Cr10Fe37B3,False
Cr10Fe39B,False
Cr10Ni4Mo11,True
Cr10Ni71P19,True
Cr11(Co10C3)3,False
Cr11(Fe11B2)3,True
Cr11(Fe12B)3,False
Cr11Co9C5,True
Cr11Fe29C10,False
Cr11Fe34B5,False
Cr11Fe35B4,False
Cr11Fe74B15,True
Cr12Co9C4,True
Cr12Fe31B7,True
Cr12Fe33B5,True
Cr12Fe35B3,False
Cr12Fe73B15,True
Cr13(Ni3Mo)3,True
Cr13Co26C11,False
Cr13Co28C9,True
Cr13Fe28C9,True
Cr13Fe30B7,True
Cr13Fe31B6,True
Cr13Fe32B5,True
Cr13Fe33B4,False
Cr13Fe34B3,False
Cr14(Fe3C)9,True
Cr14Fe29C7,False
Cr14FeB5,True
Cr15Co24C11,False
Cr15Co26C9,True
Cr15Fe26C9,True
Cr15Fe71B14,True
Cr15Fe73B12,True
Cr15Fe77B8,False
Cr15Fe79B6,False
Cr15Fe81B4,False
Cr15Ni66P19,True
Cr16Fe25C9,True
Cr17(Co2C)11,True
Cr17(Co8C3)3,True
Cr18Fe23C9,True
Cr19(Ni5Mo22)3,False
Cr19Co20C11,True
Cr19Co22C9,True
Cr19Ni62Mo19,True
Cr2(Fe5B)3,True
Cr2(Fe5C)3,False
Cr2(Ge3Pd13)3,True
Cr2.5Fe77.5B20,True
Cr2.5Fe80.5B17,True
Cr2.5Fe82.5B15,True
